slug	name_it	primary	secondaries	pattern	equipment	is_unilateral	difficulty	fatigue	sfr	stability	skill	force_curve	ex_type	body_region	tags	goals	injury	setup_sec	session_cost	tempo_comp
barbell_back_squat	Squat bilaterale con bilanciere	quads	glutes,hamstrings,lower_back	squat	barbell	false	intermediate	8	1.05	high	moderate	descending	compound	lower	knee_dominant,axial_load,competition_lift	strength,muscle_gain,general_fitness	moderate	180	high	high
low_bar_squat	Squat low bar	quads	glutes,hamstrings,lower_back	squat	barbell	false	advanced	8	1.08	high	moderate	descending	compound	lower	powerlifting_specific,hip_dominant	strength,general_fitness	moderate	180	high	high
front_squat	Squat frontale	quads	glutes,abs,upper_back	squat	barbell	false	advanced	9	1.0	high	high	descending	compound	lower	upright_torso,olympic_carryover	strength,muscle_gain,sport_specific	moderate	200	high	high
pause_squat	Squat con pausa	quads	glutes,hamstrings	squat	barbell	false	advanced	9	1.12	high	moderate	descending	compound	lower	strength_technique,weak_point	strength,sport_specific	moderate	180	high	high
tempo_squat	Squat a tempo controllato	quads	glutes,hamstrings	squat	barbell	false	intermediate	8	1.0	high	moderate	descending	compound	lower	hypertrophy_focus,time_under_tension	muscle_gain,general_fitness	moderate	180	high	high
box_squat	Squat su box	quads	glutes,hamstrings	squat	barbell	false	intermediate	7	1.05	moderate	moderate	descending	compound	lower	box,pause_variant	strength,general_fitness	moderate	240	medium	high
overhead_squat	Squat overhead	quads	glutes,side_delts,abs,upper_back	squat	barbell	false	elite	9	0.85	very_high	very_high	descending	compound	full	mobility,overhead_stability	sport_specific,general_fitness	high	300	high	medium
goblet_squat	Squat goblet	quads	glutes,abs	squat	dumbbell	false	beginner	5	1.2	moderate	low	descending	compound	lower	home_gym,teaching_pattern	general_fitness,fat_loss,rehab	low	30	low	high
dumbbell_squat	Squat con manubri	quads	glutes,hamstrings	squat	dumbbell	false	intermediate	6	1.1	moderate	low	descending	compound	lower	home_gym,neutral_grip	muscle_gain,general_fitness	low	60	medium	high
bulgarian_split_squat	Bulgarian split squat	quads	glutes,hamstrings	squat	dumbbell	true	intermediate	7	1.15	high	moderate	descending	compound	lower	unilateral,rear_foot_elevated	muscle_gain,strength,general_fitness	moderate	90	medium	high
walking_lunge	Lunge camminata	quads	glutes,hamstrings	squat	dumbbell	true	intermediate	7	1.05	moderate	moderate	descending	compound	lower	unilateral,dynamic_stability	muscle_gain,general_fitness,sport_specific	moderate	60	medium	high
reverse_lunge	Lunge inversa	quads	glutes,hamstrings	squat	dumbbell	true	beginner	6	1.1	moderate	low	descending	compound	lower	unilateral,knee_friendly	muscle_gain,general_fitness,rehab	low	45	medium	high
lateral_lunge	Lunge laterale	quads	glutes,adductors	squat	dumbbell	true	intermediate	6	1.0	high	moderate	descending	compound	lower	unilateral,frontal_plane	muscle_gain,sport_specific	moderate	60	medium	high
leg_press_45	Leg press 45°	quads	glutes,hamstrings	squat	machine	false	intermediate	6	1.25	low	low	descending	compound	lower	machine_based,volume_friendly	muscle_gain,strength,general_fitness	low	120	medium	high
hack_squat	Hack squat	quads	glutes	squat	machine	false	intermediate	6	1.2	low	low	descending	compound	lower	sled_pattern,quad_bias	muscle_gain	low	90	medium	high
pendulum_squat	Pendulum squat	quads	glutes	squat	machine	false	intermediate	6	1.22	low	low	descending	compound	lower	arc_path,quad_focus	muscle_gain	low	90	medium	high
belt_squat	Squat con belt	quads	glutes,hamstrings	squat	machine	false	intermediate	6	1.18	low	moderate	descending	compound	lower	spinal_unload,volume	strength,muscle_gain	low	180	medium	high
sissy_squat	Sissy squat	quads	abs	squat	bodyweight	false	advanced	7	0.95	high	high	ascending	isolation	lower	bodyweight_knee_ext,quad_length	muscle_gain,sport_specific	high	0	medium	medium
pistol_squat	Pistol squat	quads	glutes,abs	squat	bodyweight	true	elite	8	0.9	very_high	very_high	descending	compound	lower	unilateral,mobility	muscle_gain,sport_specific	high	0	high	low
